REGIONC,DIVISION,state_name,BA_climate,TYPEHUQ,YEARMADERANGE,WALLTYPE,SWIMPOOL,RECBATH,FUELTUB,RANGEFUEL,OUTGRILLFUEL,DWASHUSE,DRYRFUEL,EQUIPM,FUELHEAT,FUELH2O,MONEYPY,CARBFTP
3,6,4,1,3,3,4,1,0,-2,5,-2,-2,-2,5,5,5,14,100.0
0,8,25,5,2,6,3,1,0,-2,5,23,-2,5,8,7,5,8,[43.88823224]
3,3,26,0,2,4,2,0,1,5,13,2,7,5,8,7,5,16,100.0
3,6,4,1,2,4,4,1,0,-2,1,2,0,1,3,1,1,15,[62.31273605]
1,5,39,0,2,6,3,0,1,5,1,2,1,5,2,1,1,15,[89.97444819]
0,8,15,0,2,4,2,0,1,5,5,1,3,1,3,1,1,16,100.0
3,4,31,4,2,7,4,0,1,5,1,2,3,5,3,1,5,15,[80.72934747]
2,1,17,5,2,6,3,0,1,5,2,2,2,5,3,2,2,14,[84.89888222]
2,9,43,2,2,6,1,1,1,1,-2,2,5,5,3,1,5,16,100.0
2,7,9,2,2,6,7,1,0,-2,5,2,3,5,4,5,5,16,100.0
3,6,4,1,2,6,4,1,0,-2,13,23,2,5,3,1,1,11,[41.72256904]
2,7,10,2,2,1,5,1,0,-2,1,2,1,5,3,1,5,16,100.0
3,6,37,3,2,2,2,0,1,5,1,2,6,5,3,1,5,4,[26.5415036]
2,9,43,4,2,5,1,1,0,-2,5,2,0,5,3,5,5,13,100.0
3,6,4,1,2,4,4,1,0,-2,-2,2,0,5,3,1,1,12,[68.17233177]
2,9,3,5,2,4,2,0,1,-2,2,2,-2,5,4,5,5,4,[25.3148442]
0,0,14,0,2,3,3,1,0,-2,1,2,7,1,3,1,1,13,[75.39347542]
1,5,19,0,2,6,2,1,1,5,-2,2,7,5,3,3,3,16,100.0
2,9,43,1,2,6,4,0,1,-2,1,2,2,5,3,1,1,13,[62.60393043]
2,1,0,5,2,5,3,1,0,-2,5,2,5,5,7,1,5,16,100.0
2,7,10,5,2,2,1,1,1,5,13,1,5,5,3,1,1,16,100.0
2,9,36,5,2,4,6,0,1,5,-2,2,5,5,3,1,5,15,[87.4724912]
2,7,7,5,2,8,3,1,0,-2,5,2,3,5,3,1,5,16,100.0
3,4,2,1,2,6,4,1,0,-2,-2,1,1,1,4,5,1,16,100.0
1,5,29,0,2,4,5,1,1,5,5,2,1,5,7,3,5,14,[84.83077546]
2,7,10,5,2,4,1,0,1,5,2,2,2,5,4,5,5,16,100.0
3,3,5,0,5,6,3,-2,1,5,5,2,3,5,2,1,1,7,[42.38518801]
2,9,36,5,2,2,1,0,1,-2,5,2,0,5,10,5,5,8,[45.31673269]
2,1,0,5,3,6,3,0,1,1,5,1,3,5,3,1,1,15,[86.38956894]
2,1,42,5,2,5,2,0,1,5,5,2,2,5,3,1,1,13,[57.64812449]
2,1,42,5,2,4,2,0,1,-2,5,2,2,5,4,5,5,14,100.0
3,6,4,1,2,5,3,1,1,-2,-2,23,7,1,3,1,1,16,[79.5307219]
3,3,5,0,2,7,4,0,1,1,-2,1,5,1,3,1,5,15,[98.1306452]
3,3,12,0,1,4,3,0,1,5,5,2,1,5,3,5,5,1,[5.03580048]
3,4,28,1,2,7,4,1,0,-2,1,1,14,1,3,1,1,12,[55.54860892]
3,6,4,1,2,6,4,1,0,-2,1,2,7,5,3,1,1,15,[61.90053848]
1,2,38,5,2,7,3,0,1,5,5,23,2,5,4,5,5,13,[87.0732712]
3,4,2,1,2,4,7,1,0,-2,5,23,2,1,4,5,1,15,[58.71426539]
2,9,3,5,2,5,1,1,0,-2,13,23,0,5,3,1,5,15,100.0
1,2,38,5,2,3,3,1,0,-2,5,2,5,5,4,5,5,15,100.0
1,5,39,0,2,4,3,1,0,-2,5,2,7,5,13,5,5,10,[70.51242151]
1,2,30,0,3,5,3,0,1,-2,5,1,5,1,3,1,1,14,[94.84881614]
2,9,3,5,2,8,2,0,1,-2,5,2,-2,5,5,5,5,5,[31.13920941]
3,6,47,3,2,9,3,0,1,5,5,2,7,5,13,5,5,15,100.0
0,0,22,0,2,2,1,0,1,-2,5,-2,2,1,3,1,5,15,100.0
3,6,1,7,2,6,2,0,1,-2,5,2,1,1,2,1,1,6,[25.17215757]
2,9,36,5,2,7,3,1,0,-2,-2,23,6,5,3,5,5,16,100.0
2,1,0,5,2,7,1,1,0,-2,5,23,6,5,3,1,1,16,[76.63880156]
2,1,24,5,2,4,1,1,0,-2,5,2,2,5,4,5,2,13,100.0
3,6,37,0,2,2,2,0,1,5,5,2,5,5,3,1,5,15,[96.31016986]
0,0,14,0,2,5,2,1,0,-2,-2,2,3,5,3,1,1,16,[94.71801094]
0,8,23,0,2,4,3,0,1,-2,-2,2,2,5,3,1,1,15,[80.35073593]
2,9,43,2,2,5,1,1,1,1,-2,1,2,5,3,1,1,16,100.0
2,7,9,2,2,7,7,1,0,-2,5,2,1,5,3,5,5,12,[72.93370353]
2,1,42,5,2,4,3,0,1,5,5,2,1,5,4,5,5,5,[27.21353881]
0,0,22,0,2,1,3,1,1,5,-2,-2,6,1,3,1,1,16,100.0
2,7,9,2,2,1,7,0,1,5,5,23,1,5,-2,-2,5,7,[45.83702132]
1,5,39,0,2,3,5,1,0,-2,5,2,7,5,3,3,3,12,[79.58630478]
2,7,10,5,2,3,1,0,1,-2,5,-2,0,5,3,1,1,14,100.0
2,9,36,5,2,9,3,0,1,-2,-2,23,5,2,4,5,2,16,[84.48146812]
3,6,4,3,4,9,2,-2,1,5,5,-2,0,-2,3,1,1,12,100.0
2,7,9,2,2,6,4,1,0,-2,-2,2,0,5,4,5,5,13,[88.71918076]
2,7,40,5,2,4,1,1,0,-2,-2,2,2,1,3,1,1,9,[77.94979392]
1,5,39,0,2,7,3,1,0,-2,5,23,6,5,2,3,3,11,[51.72324739]
3,4,31,1,2,6,1,1,0,-2,1,2,2,5,3,1,1,15,100.0
2,1,42,5,2,3,2,1,0,-2,5,23,0,5,4,5,5,11,[99.95120351]
3,3,12,0,2,7,4,0,1,5,13,2,5,5,3,1,1,16,[70.61209034]
3,6,37,0,2,7,3,0,1,5,-2,-2,2,5,3,5,5,14,100.0
3,6,47,0,2,7,4,0,1,5,-2,2,5,5,4,5,5,16,100.0
3,6,4,3,2,2,4,1,0,-2,1,1,1,5,3,1,1,14,[68.81791442]
3,4,2,1,2,4,7,1,0,-2,5,-2,0,5,3,5,5,13,[87.39789401]
2,9,43,2,2,5,1,1,1,1,-2,-2,7,5,3,1,1,16,100.0
3,4,31,0,2,5,2,0,1,1,-2,2,0,1,3,1,1,12,[80.59755792]
0,8,23,7,2,5,2,0,1,-2,5,2,2,1,3,1,1,16,100.0
3,4,28,0,2,5,2,0,1,5,-2,23,3,5,3,2,2,16,[88.26695878]
2,1,17,5,2,1,2,1,0,-2,2,2,-2,5,3,3,5,12,100.0
2,7,40,2,2,2,2,1,0,-2,5,23,1,5,10,5,5,7,[48.8973485]
2,9,3,5,2,3,1,0,1,-2,5,23,7,5,4,5,5,13,[79.69303308]
3,3,26,0,3,5,3,1,0,-2,5,2,3,5,3,1,1,15,[91.59446776]
3,4,2,1,2,7,4,0,1,5,1,1,0,5,3,1,5,9,[44.80031274]
1,2,38,0,2,1,3,1,0,-2,1,2,3,1,3,1,1,14,[98.91673706]
0,8,16,5,2,7,3,0,1,1,-2,2,5,5,3,1,1,16,[75.93722272]
0,0,13,0,2,4,3,1,1,5,5,2,1,2,3,2,5,16,100.0
2,7,40,5,2,5,3,1,0,-2,-2,-2,0,5,4,5,5,7,[36.30195036]
2,1,0,5,2,1,3,0,1,5,1,-2,3,5,4,5,5,15,100.0
3,6,4,3,2,2,2,0,1,1,-2,2,7,5,3,1,1,16,[95.78817042]
1,2,30,5,2,3,3,1,0,-2,1,1,1,1,3,1,1,11,[64.5614752]
2,1,17,5,2,7,3,1,0,-2,5,2,4,5,3,5,5,15,100.0
1,5,6,0,2,2,3,1,0,-2,5,2,-2,5,3,2,5,15,100.0
0,0,35,0,2,2,3,1,1,-2,5,-2,3,5,3,1,5,6,[41.60030685]
3,6,4,1,2,5,99,1,1,1,1,1,7,1,3,1,1,16,[48.46052641]
2,7,9,2,4,7,7,-2,1,5,5,-2,7,5,13,5,5,16,100.0
1,2,32,0,2,7,3,0,1,-2,-2,2,3,5,3,3,3,16,100.0
3,4,2,1,2,8,4,1,0,-2,1,2,1,5,3,1,1,14,[58.9895005]
0,8,34,7,5,8,6,-2,1,-2,5,-2,0,5,3,5,5,1,[5.49883908]
2,9,3,5,2,7,3,1,0,-2,5,2,5,5,3,5,5,8,[55.84884152]
3,3,12,0,3,3,2,0,1,5,5,2,3,5,3,5,5,14,100.0
0,0,22,0,2,1,3,1,0,-2,-2,2,4,5,3,1,1,14,[74.30544583]
2,7,48,5,2,5,2,1,0,-2,5,2,0,5,3,1,5,12,100.0
2,1,0,5,2,7,3,1,0,-2,5,2,4,5,5,5,5,13,[98.23558024]
2,1,17,5,2,7,1,1,1,5,-2,23,3,5,4,5,5,15,100.0
3,3,50,0,2,3,2,0,1,5,1,2,5,5,3,1,1,7,[38.57726347]
2,7,46,5,2,1,3,0,1,-2,-2,23,6,5,3,1,1,15,[77.42382294]
2,1,42,5,2,1,6,1,0,-2,1,2,7,5,3,1,5,12,[62.89853327]
0,0,35,0,2,7,3,1,0,-2,-2,2,6,5,3,1,1,15,[61.73973409]
3,6,4,3,2,7,4,1,0,-2,-2,2,1,1,3,1,1,14,[67.45856934]
1,5,45,0,2,5,3,0,1,5,2,2,5,5,3,2,2,16,[98.05276306]
